Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       97    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       97    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       97    0.002    0.000    0.002    0.000 enum.py:44(_is_private)
       97    0.001    0.000    0.004    0.000 enum.py:88(__setitem__)
       96    0.000    0.000    0.000    0.000 dataclasses.py:767(_hash_set_none)
       95    0.000    0.000    0.000    0.000 inspect.py:2036(parse_name)
       95    0.004    0.000    0.005    0.000 inspect.py:2073(p)
       89    0.000    0.000    0.003    0.000 symbolic_helper.py:347(decorator)
       89    0.000    0.000    0.000    0.000 symbolic_helper.py:299(quantized_args)
    88/79    0.000    0.000    0.000    0.000 typing.py:170(_type_repr)
       87    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       82    0.000    0.000    0.001    0.000 typing.py:218(_deduplicate)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
       80    0.000    0.000    0.008    0.000 typing.py:841(copy_with)
    80/40    0.000    0.000    0.000    0.000 module.py:2395(named_modules)
       80    0.000    0.000    0.000    0.000 _ndarray.py:84(create_method)
       79    0.001    0.000    0.002    0.000 typing.py:232(_remove_dups_flatten)
       79    0.001    0.000    0.013    0.000 typing.py:434(Union)
       78    0.000    0.000    0.000    0.000 typing.py:337(__repr__)
       74    0.001    0.000    0.008    0.000 inspect.py:1840(_signature_bound_method)
       74    0.003    0.000    0.022    0.000 inspect.py:2152(_signature_from_function)
       74    0.000    0.000    0.006    0.000 inspect.py:2873(replace)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       68    0.000    0.000    0.000    0.000 inspect.py:91(ismethoddescriptor)
       68    0.002    0.000    0.010    0.000 inspect.py:3065(__str__)
       62    0.001    0.000    0.008    0.000 typing.py:832(__getitem__)
       62    0.000    0.000    0.000    0.000 typing_extensions.py:2872(_check_generic)
       61    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
       61    0.000    0.000    0.002    0.000 symbolic_helper.py:1803(_apply)
       61    0.000    0.000    0.000    0.000 symbolic_helper.py:1800(_apply_params)
       57    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       53    0.000    0.000    0.013    0.000 typing.py:472(Optional)
       53    0.000    0.000    0.000    0.000 typing.py:509(<genexpr>)
       53    0.000    0.000    0.000    0.000 typing.py:947(<genexpr>)
       52    0.004    0.000    0.004    0.000 {built-in method builtins.compile}
       51    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       51    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       51    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       50    0.000    0.000    0.000    0.000 typing.py:928(__eq__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       47    0.000    0.000    0.001    0.000 _ufuncs.py:289(deco_unary_ufunc)
       46    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       44    0.000    0.000    0.000    0.000 <frozen zipimport>:308(_get_module_path)
       44    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       44    0.000    0.000    0.000    0.000 typing.py:1197(<genexpr>)
       43    0.000    0.000    0.000    0.000 base.py:343(__init__)
       43    0.000    0.000    0.000    0.000 builtin.py:625(__init__)
       41    0.000    0.000    0.000    0.000 functools.py:478(lru_cache)
       40    0.000    0.000    0.001    0.000 functools.py:517(decorating_function)
       40    0.000    0.000    0.000    0.000 typing.py:920(<genexpr>)
       40    0.000    0.000    0.001    0.000 typing.py:936(__repr__)
       39    0.000    0.000    0.001    0.000 tokenize.py:319(read_or_stop)
       39    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
       39    0.001    0.000    0.040    0.001 dataclasses.py:550(_frozen_get_del_attr)
       39    0.000    0.000    0.013    0.000 dataclasses.py:589(_hash_fn)
       39    0.000    0.000    0.000    0.000 dataclasses.py:771(<listcomp>)
       39    0.000    0.000    0.013    0.000 dataclasses.py:770(_hash_add)
       38    0.000    0.000    0.000    0.000 inspect.py:64(ismodule)
       38    0.000    0.000    0.001    0.000 _ufuncs.py:67(deco_binary_ufunc)
       37    0.004    0.000    0.442    0.012 linear.py:116(forward)
       37    0.000    0.000    0.000    0.000 trace_rules.py:3169(_strip_init_py)
       37    0.437    0.012    0.437    0.012 {built-in method torch._C._nn.linear}
       36    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
